id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,FPEWT
2,2025-01-03 12:00:00,2025-02-02 12:00:00,WCWKT
3,2025-01-04 12:00:00,2025-02-03 12:00:00,TCMWY
4,2025-01-05 12:00:00,2025-02-04 12:00:00,XUGJC
5,2025-01-06 12:00:00,2025-02-05 12:00:00,PAUHZ
6,2025-01-07 12:00:00,2025-02-06 12:00:00,BIYMC
7,2025-01-08 12:00:00,2025-02-07 12:00:00,JEWKR
8,2025-01-09 12:00:00,2025-02-08 12:00:00,BESJP
9,2025-01-10 12:00:00,2025-02-09 12:00:00,WVNOT
10,2025-01-11 12:00:00,2025-02-10 12:00:00,QPWPD
