id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,DYYYR
2,2025-01-03 12:00:00,2025-02-02 12:00:00,JABTI
3,2025-01-04 12:00:00,2025-02-03 12:00:00,OAWQL
4,2025-01-05 12:00:00,2025-02-04 12:00:00,AOMUJ
5,2025-01-06 12:00:00,2025-02-05 12:00:00,ALMZY
6,2025-01-07 12:00:00,2025-02-06 12:00:00,IIJJV
7,2025-01-08 12:00:00,2025-02-07 12:00:00,BNAQG
8,2025-01-09 12:00:00,2025-02-08 12:00:00,DDENL
9,2025-01-10 12:00:00,2025-02-09 12:00:00,YAQZG
10,2025-01-11 12:00:00,2025-02-10 12:00:00,LIGIB
