id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,UHCWN
2,2025-01-03 12:00:00,2025-02-02 12:00:00,PEOBJ
3,2025-01-04 12:00:00,2025-02-03 12:00:00,QUIKD
4,2025-01-05 12:00:00,2025-02-04 12:00:00,ZEOJO
5,2025-01-06 12:00:00,2025-02-05 12:00:00,HLKND
6,2025-01-07 12:00:00,2025-02-06 12:00:00,IAZAP
7,2025-01-08 12:00:00,2025-02-07 12:00:00,XGMLO
8,2025-01-09 12:00:00,2025-02-08 12:00:00,YEYFH
9,2025-01-10 12:00:00,2025-02-09 12:00:00,LLGSR
10,2025-01-11 12:00:00,2025-02-10 12:00:00,LNROB
