id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,QLWOF
2,2025-01-03 12:00:00,2025-02-02 12:00:00,UAXQP
3,2025-01-04 12:00:00,2025-02-03 12:00:00,VURSW
4,2025-01-05 12:00:00,2025-02-04 12:00:00,RRQUQ
5,2025-01-06 12:00:00,2025-02-05 12:00:00,NNNPZ
6,2025-01-07 12:00:00,2025-02-06 12:00:00,AKIKO
7,2025-01-08 12:00:00,2025-02-07 12:00:00,GSFRF
8,2025-01-09 12:00:00,2025-02-08 12:00:00,WYEGJ
9,2025-01-10 12:00:00,2025-02-09 12:00:00,YQCJE
10,2025-01-11 12:00:00,2025-02-10 12:00:00,JYFMF
