id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,UTLAL
2,2025-01-03 12:00:00,2025-02-02 12:00:00,KROOH
3,2025-01-04 12:00:00,2025-02-03 12:00:00,SJIJF
4,2025-01-05 12:00:00,2025-02-04 12:00:00,BOAJN
5,2025-01-06 12:00:00,2025-02-05 12:00:00,TEHWP
6,2025-01-07 12:00:00,2025-02-06 12:00:00,HAPFR
7,2025-01-08 12:00:00,2025-02-07 12:00:00,AXNFT
8,2025-01-09 12:00:00,2025-02-08 12:00:00,WWYYN
9,2025-01-10 12:00:00,2025-02-09 12:00:00,CDOWA
10,2025-01-11 12:00:00,2025-02-10 12:00:00,DCXCI
