id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,LSGNV
2,2025-01-03 12:00:00,2025-02-02 12:00:00,HJCFU
3,2025-01-04 12:00:00,2025-02-03 12:00:00,JDTJD
4,2025-01-05 12:00:00,2025-02-04 12:00:00,BPQKL
5,2025-01-06 12:00:00,2025-02-05 12:00:00,XIFXI
6,2025-01-07 12:00:00,2025-02-06 12:00:00,NWNGE
7,2025-01-08 12:00:00,2025-02-07 12:00:00,BHASU
8,2025-01-09 12:00:00,2025-02-08 12:00:00,ADGFO
9,2025-01-10 12:00:00,2025-02-09 12:00:00,DQUCH
10,2025-01-11 12:00:00,2025-02-10 12:00:00,AOGCB
