id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,SEOOT
2,2025-01-03 12:00:00,2025-02-02 12:00:00,UEBXI
3,2025-01-04 12:00:00,2025-02-03 12:00:00,CWAQP
4,2025-01-05 12:00:00,2025-02-04 12:00:00,UXARU
5,2025-01-06 12:00:00,2025-02-05 12:00:00,MLYMX
6,2025-01-07 12:00:00,2025-02-06 12:00:00,XJHIT
7,2025-01-08 12:00:00,2025-02-07 12:00:00,REPKI
8,2025-01-09 12:00:00,2025-02-08 12:00:00,PVZEP
9,2025-01-10 12:00:00,2025-02-09 12:00:00,TBARQ
10,2025-01-11 12:00:00,2025-02-10 12:00:00,ENOKP
