id,created_at,updated_at,value
1,2025-01-02 12:00:00,2025-02-01 12:00:00,BUXWJ
2,2025-01-03 12:00:00,2025-02-02 12:00:00,ULJXG
3,2025-01-04 12:00:00,2025-02-03 12:00:00,XWURP
4,2025-01-05 12:00:00,2025-02-04 12:00:00,GHZIT
5,2025-01-06 12:00:00,2025-02-05 12:00:00,GUMNT
6,2025-01-07 12:00:00,2025-02-06 12:00:00,IAWKS
7,2025-01-08 12:00:00,2025-02-07 12:00:00,KEONM
8,2025-01-09 12:00:00,2025-02-08 12:00:00,ZQQNA
9,2025-01-10 12:00:00,2025-02-09 12:00:00,KPBDQ
10,2025-01-11 12:00:00,2025-02-10 12:00:00,WQMDI
